,Signal
BRK-A,1939.707709987124
BVH,197.49429295963725
Y,15.01747406383754
MKL,9.366256645093017
RE,7.021342529398908
NEU,5.264577730222413
STZ,5.197602630354083
VAC,4.810219932507408
AMP,4.041367291783075
BLK,3.901771670423045
GL,3.8883549628056926
PH,3.3441576433381215
RS,3.317455549094092
ECL,3.291352623529292
ITW,3.096731088440805
AON,3.0403697120000857
RL,2.9516725341114665
PRI,2.8611083284156393
WSO,2.804065548778624
WSM,2.754116878840591
RGA,2.7498466473933547
RNR,2.7387754445983887
AMG,2.72245332010624
AIT,2.6964217601093026
CMI,2.5802830461814494
GWW,2.48613034689879
UHS,2.4705108607466
TT,2.466620429848092
RBC,2.460801944864187
THG,2.456662351899922
MTB,2.436580831054755
MTZ,2.4005626946478174
ALG,2.398553335234368
BOH,2.3836574482974413
KSU,2.3663230188741977
GATX,2.234705094079459
ASGN,2.2220588437649837
J,2.1635553943546597
MAN,2.149592188909054
MUSA,2.1334755208937963
CB,2.0960227609696176
FLT,2.0683637478311994
PNC,2.002368941125468
USPH,1.9838833415265498
STZ-B,1.9667017701387692
OSK,1.9296039076670013
ARW,1.917149023113467
FMC,1.8999825471919252
MMM,1.8824029461279963
TRV,1.854657335654025
IEX,1.8544529257146962
NSC,1.852074421898351
STT,1.7463531828753958
AIZ,1.71887049478417
UNP,1.6732166945584481
OMC,1.6447990807183288
SWX,1.6310781734381976
CMP,1.6054818205791008
ATKR,1.5945887556609932
ITT,1.574748331031131
MOH,1.5517503294665005
LNC,1.551281246194236
GPI,1.547807731426758
VOYA,1.534172898539829
BRK-B,1.5140853014719369
DOV,1.5120290412962163
BHP,1.4691783839316344
AXS,1.4213271537119283
TEL,1.4151345904702737
HIG,1.3996108420808966
PRU,1.3773576309342985
UHT,1.373219990687474
SCL,1.3666089516067643
PNW,1.3592006007239519
LNN,1.3391132282242495
DAR,1.3373665179867231
AJG,1.3203882503787554
AEM,1.3063947226083883
ETN,1.293611437618324
BBL,1.2757853144205384
RJF,1.2685915344877543
CW,1.2381759238260628
MET,1.2313660937595756
DIN,1.2248086801895823
SNX,1.218234577451824
POST,1.2149223308583714
MLR,1.1607270765841093
WLK,1.1531122444808375
BWXT,1.1301393854338073
PVH,1.116116575446128
SYY,1.109962010753307
GD,1.0957471926626567
GTLS,1.093999320810724
TNL,1.0743562220421765
PB,1.0733826930673729
NBHC,1.0699412337082066
PWR,1.0629449061472371
EMN,1.0626105774317836
KSS,1.051735869991667
BKU,1.0359341058865112
ANTM,1.031904567447441
WWW,1.0291161585030508
CFR,1.025110346118268
ACM,1.021356758297884
EXP,1.0165675327272652
ALE,1.0100385407765629
PRG,1.0029013792440935
WCC,1.0013088467814129
KTB,0.9946141675854037
CBU,0.9897705929466554
ESNT,0.9882927704432802
PPG,0.9871079465620767
RCUS,0.9818150045982925
WBS,0.9548665948140709
CNA,0.9542120226446968
HI,0.950935497483286
CSL,0.944550818807727
SNV,0.9411697851504641
GPC,0.9321085731679091
WAL,0.9276233939647938
KMT,0.9248400141865432
FBK,0.9123960111296441
AIG,0.9080577016851024
TNC,0.9057161306775328
LEVI,0.9015304993721891
WOR,0.8960225645235766
FNF,0.8847214800587722
MLI,0.881766003774267
WEC,0.8776336399572529
CIR,0.8562987425919388
MS,0.8547704198944786
WRB,0.8511752881396291
YUM,0.8501884989160544
AVNT,0.838728944999481
CLH,0.836033848872205
RLI,0.8184569626871792
SO,0.8128388987672039
KEX,0.809836560634281
MSA,0.8030794775882271
ADNT,0.7911785770820572
PHG,0.789689286031809
ALV,0.7851499322807598
WM,0.7785138430900815
WCN,0.7749755580585855
OFG,0.7718457122605891
RXN,0.770480393885876
PSB,0.7616780498919127
VMW,0.7600508332072309
WFC,0.758920436827971
AGM,0.7583509525525329
STC,0.7580876701922818
AL,0.7518122439062864
AVA,0.726426431418453
AVY,0.7233427636398346
FBC,0.7181843179396523
KMX,0.7174785335463554
INGR,0.7133239414380199
DY,0.7101372122648826
KL,0.7081514202070451
DOW,0.7006505132200189
RSG,0.6945030605782705
TRN,0.6921446585916087
R,0.6803140841533803
DLX,0.6741480107636377
ALLE,0.6724657445088553
EME,0.6720530766311867
LDL,0.6688117067903647
KFY,0.6677651383247252
ORA,0.666957219083443
AME,0.6606234930582104
BXS,0.6575607476358591
JPM,0.6553216917155282
AFL,0.6548964540973898
MDU,0.6541445096488516
JEF,0.642816720335226
DOOR,0.6381924439392037
USB,0.6367377561560517
KRA,0.634031463390027
AZZ,0.6253138518267605
MCK,0.6241587642289801
TSQ,0.6234489441425701
LEA,0.6219166210922538
RPM,0.6218799971803435
APAM,0.6216143551852724
AER,0.6168474777587889
UNM,0.6149269237352186
ABM,0.6113432273740003
FRC,0.6094993288879209
PUK,0.6026625283535907
HOG,0.5999268189949376
HNGR,0.5926203174149549
RMAX,0.5894849384672014
WMT,0.5883306714721641
VIPS,0.5797839481848932
DTE,0.5655922253327219
NP,0.5588016625144334
TSE,0.5582372281405981
ZTO,0.555192632180372
BNS,0.5550789804794789
LTC,0.5534103440736047
HUBB,0.5493226193738963
FIX,0.5489999639625296
TUP,0.5470509866802331
ALL,0.5222262119982304
MTOR,0.5207679268578858
BV,0.5146714233583367
FAF,0.5110677473238354
AGX,0.507219193986316
PEG,0.505489326468151
RIO,0.5019365330157513
EQH,0.5008047238324558
BAC,0.4956149142532027
BTO,0.49454954093591397
TXT,0.4886376695934729
ALSN,0.48040637134771913
ED,0.47897168889075203
L,0.47881147597821894
NEM,0.47617963177400924
NJR,0.47565752191314203
CBT,0.45582660727254876
NCR,0.4557928234905404
ORI,0.4533446751206789
ACA,0.4467383817662878
BBY,0.4466485549476289
FLOW,0.4372497058901885
CP,0.43582921354885684
PFS,0.4332713800841148
VSH,0.4331795093111239
IP,0.42858547977969863
GIS,0.42854059743362427
KMPR,0.4234737057087301
WRK,0.42315194737235373
LL,0.42265603153124687
GTS,0.4089099117096495
KBR,0.404056033481929
TROX,0.401560039798035
SLF,0.40149725165255035
GNL,0.40010994952903545
DAN,0.39984720755378333
MPW,0.39902598926447297
ETH,0.3990206199274198
SON,0.3944939790192734
TPR,0.38797556774628816
LYB,0.3847910153404541
COF,0.3817595631372228
PRMW,0.38084552662430227
GRC,0.37762424054487553
HUN,0.3750096940683214
ASB,0.3726991987526773
OI,0.3714285946936329
GLW,0.37131012001856334
SMWB,0.36997472458996583
TJX,0.3630845140316694
MKC,0.3582218406285165
UTF,0.35816261150987927
TFC,0.3560155608410369
HVT,0.35538476991159484
ADM,0.352604684234052
SSL,0.3444091776880214
COG,0.344389487374853
CMA,0.3422840848628965
PPL,0.3415829157085284
FL,0.34122884241650553
ALLY,0.34107814301474093
EPAC,0.3390575911225788
TAP,0.3389156754176952
LAD,0.33542762779620716
DD,0.3273152650334197
PLOW,0.32614528565306244
MWA,0.31950612210390794
CADE,0.3155781329283833
AA,0.300372099508877
ASA,0.2984489781498887
LZB,0.2965033279080558
GPN,0.29638165942228056
IPG,0.2959874680900647
SONY,0.2951818465421354
GFLU,0.291567691144067
TWI,0.28917624096837
UTL,0.2850975286421331
FBP,0.27502014891260984
TG,0.27072697630117837
EQT,0.26679951259205126
WNC,0.2649855133304353
HNI,0.26456609661995145
CNO,0.2636006182966142
CFG,0.2631998970205913
FNB,0.26102154345765705
MSGN,0.26015994983375634
APD,0.2600854636704639
WU,0.25572709771299174
WPM,0.2544366204460786
FSS,0.2527204643947414
TS,0.25064268366576314
TPC,0.2501428162146109
UNVR,0.24900827171589057
AVD,0.24590870732055237
CAI-PB,0.24540011713708054
ATI,0.2439750131745413
PRA,0.24392414533342688
SOLN,0.2409611721689373
HBI,0.23970399682465526
HPE,0.23651236374841567
CF,0.2359265631293539
CTVA,0.23576893199137317
AROC,0.2352120597570302
LEG,0.2343801016310536
VGR,0.23067009233333913
VEDL,0.23023106813800176
CAI-PA,0.22981749403995266
KEY,0.22291683708703047
EDR,0.22244294965117462
EVT,0.21986975453268442
EGO,0.21894713922582731
UVV,0.21880780256129384
MO,0.21688435006873164
NVT,0.21126197549756753
HZN,0.20897424026375422
MTG,0.20460599803039514
HII,0.20384988157502448
NYCB,0.20299701065914633
DPG,0.19974759856773794
QUOT,0.19904200255797555
MFC,0.19806999602140607
KN,0.19536724983838383
EPC,0.19448892028346165
STL,0.1860951989963624
BKR,0.1856513643021529
BWA,0.18411474615681556
KMI,0.1837693717883191
KNX,0.1837146212846008
KGC,0.18321558304887553
UVE,0.18130205052239035
FDP,0.1804158101618114
CAJ,0.17823973403431737
CIT,0.17762974698851508
HL,0.17544079073884689
BLD,0.17514937953956178
FLS,0.17430399821443388
FCF,0.17293367575895324
HSBC,0.17219174679194182
TEX,0.17058403353371432
JWN,0.17055097713466694
FHN,0.1674414138352418
SPNT,0.1668414071903026
HGV,0.16652639834945404
TISI,0.16148688493113816
EQNR,0.16055280413873163
ES,0.15984705444050462
SLQT,0.1587988534033542
ACCO,0.15498458380448632
C,0.1542619883156533
SJR,0.1534475940917126
HE,0.1485738754749093
BCX,0.1471846695995893
LAZ,0.14408198816158801
AGI,0.14164592448647628
SC,0.14158212261286707
DMS,0.14101232667258579
TDS,0.13909718342007338
BEN,0.13706629867165532
GPRK,0.13692062070466093
HSC,0.13318824294770693
HHC,0.13077785886324023
QSR,0.12584357298152327
NWN,0.12386517085560911
DNOW,0.12374675528699441
CLX,0.12325564020792967
TNP,0.1228917518993633
BCS,0.12152406922038139
SJM,0.12016200267646582
NPK,0.1187456374990461
COE,0.1177892275156136
SFL,0.11776342795140948
NX,0.11765249127194011
TCS,0.11673836574178864
DIS,0.11631556905396678
BK,0.1159733607036344
AEG,0.11476880161559766
AUY,0.11427641699648028
SJT,0.11216087813274545
FUN,0.11193720339402802
TGNA,0.11121370141563247
SCS,0.11067367296325514
MATX,0.11047098872997196
FLR,0.10887551094926806
AMCR,0.10873753857895707
AMRX,0.10399126183862073
HSY,0.10336354265365344
ORAN,0.1029435200268729
EB,0.10228974993634665
NETI,0.10087246760231139
TY,0.10007528386684328
BY,0.09911736729030807
AEE,0.09891365097163884
WSR,0.09822596614734636
STN,0.09547391524706228
PFGC,0.09529673938158822
BCSF,0.09505417628109569
PZN,0.08956004566465836
NHI,0.08938692703618756
SF,0.0881338976870154
GDV,0.08780586872558516
TX,0.08707175565052694
CNNE,0.08585151759845644
CLS,0.0839589321755172
IAG,0.0819705724854689
BHE,0.08095707237336214
BIF,0.0791128946593016
JELD,0.07880925486245971
GGG,0.07847596662423939
ARR,0.07822389443635203
PHT,0.07695329251605187
ARGO,0.07644854612045293
CRH,0.0762952929602605
RDN,0.07610143184921725
GOLD,0.07609063964058649
DRI,0.07573144622611494
EURN,0.07327858750514338
BANC,0.07299814016728945
SOR,0.0712617464840477
CAG,0.0688903078778722
RYAM,0.06808854102107897
NI,0.06757761703883247
HMN,0.06718903365890583
FPI,0.06637458884700109
GNT,0.06608723331590038
MTX,0.065262887938772
T,0.05753671895679702
AP,0.05717951916124875
FSM,0.05708116278606745
POR,0.05682685600364579
SCM,0.056724488277160034
CHRA,0.052164691773491256
RF,0.051496356295462675
GNE,0.048898071184002134
SCCO,0.04800080289644626
SCE-PK,0.046415339470438965
RHI,0.04430179788806754
CNX,0.04403791104068411
TPB,0.042799465428508654
KOP,0.04276906903961475
ATCO,0.040613599647194576
BDJ,0.040610580576702304
MSGE,0.040120318128870736
MAS,0.0369722798594978
AB,0.034066171398116296
NMR,0.032628581315060856
AG,0.03223835046297907
EDU,0.03138997261473353
WDH,0.027719539826486894
ABB,0.027178761461904344
ETR,0.024044369749617545
AGO,0.02123031625958305
CLPR,0.020138588748285002
PNM,0.01901476017636128
NOMD,0.018662306569442677
PGTI,0.017811655710424645
PPX,0.01641897322778263
UBS,0.015894701890120544
CVII,0.01576166150147884
ENR,0.014813058562872072
EBF,0.013663619079729017
GWB,0.013633527129847778
EFF,0.013222572678781574
FF,0.012286942394483802
SMFG,0.010359113476098969
CX,0.010034394447284711
HBM,0.009874419524468436
GNW,0.008906781594805402
TD,0.007934435243996063
AUD,0.00688610577774007
CPF,0.005749058958883779
FND,0.005679303901189314
CDE,0.005590471892466198
MCN,0.005534045731904413
ENIC,0.003973300672469815
ENIA,0.0029864170904447818
MRC,0.0023206789495748836
FSNB,0.0012314032137208386
IAE,0.0003531643396055273
